experiment_id,research_area,protein_concentration,success_rate,funding_stage
EXP001,Neuroscience,46.33,74.5,Preclinical
EXP002,Neuroscience,15.52,88,Phase_I
EXP003,Gene_Therapy,27.42,67.5,Preclinical
EXP004,Gene_Therapy,32.79,49.9,Preclinical
EXP005,Immunology,33.95,27.6,Preclinical
EXP006,Gene_Therapy,27.29,71.8,Preclinical
EXP007,Gene_Therapy,29.71,76.2,Phase_II
EXP008,Oncology,29.45,26.1,Approved
EXP009,Immunology,41.91,27,Phase_II
EXP010,Oncology,31.43,94,Preclinical
EXP011,Gene_Therapy,10.12,42.9,Phase_II
EXP012,Gene_Therapy,40.57,79.1,Phase_II
EXP013,Gene_Therapy,24.67,58.7,Phase_III
EXP014,Immunology,43.48,60,Phase_I
EXP015,Neuroscience,16.11,27.5,Approved
EXP016,Neuroscience,11.69,49.6,Approved
EXP017,Oncology,3.23,64.5,Preclinical
EXP018,Immunology,32.64,81.4,Phase_II
EXP019,Gene_Therapy,39.12,64.5,Phase_II
EXP020,Oncology,42.36,15.7,Preclinical
EXP021,Gene_Therapy,12.79,92.9,Phase_II
EXP022,Immunology,9.72,36.9,Phase_I
EXP023,Gene_Therapy,32.73,25.8,Phase_I
EXP024,Metabolic_Disorders,41.17,41.3,Phase_III
EXP025,Metabolic_Disorders,5.6,66.5,Phase_II
EXP026,Neuroscience,10.59,71.5,Phase_II
EXP027,Oncology,35.97,94.3,Preclinical
EXP028,Immunology,26.85,87.2,Phase_II
EXP029,Gene_Therapy,29.54,71.5,Phase_I
EXP030,Neuroscience,42.52,94.5,Phase_III
EXP031,Neuroscience,34.23,45.7,Preclinical
EXP032,Gene_Therapy,0.51,79.9,Approved
EXP033,Oncology,27.39,32.4,Approved
EXP034,Oncology,29.03,71.6,Phase_I
EXP035,Metabolic_Disorders,19.22,37.9,Preclinical
EXP036,Oncology,29.45,73.4,Phase_III
EXP037,Neuroscience,31.37,92.6,Phase_II
EXP038,Metabolic_Disorders,33.11,35.4,Phase_I
EXP039,Neuroscience,14.42,51.1,Preclinical
EXP040,Oncology,13.89,58.9,Phase_I
EXP041,Neuroscience,2.54,79.5,Preclinical
EXP042,Gene_Therapy,13.05,20.4,Phase_III
EXP043,Immunology,47.37,59.2,Preclinical
EXP044,Metabolic_Disorders,4.91,75.7,Phase_III
EXP045,Oncology,11.23,63.6,Preclinical
EXP046,Immunology,21.28,19.3,Preclinical
